ian@ian-HP-Stream-Laptop-11-y0XX:~/knuth-elevator/main$ ls
knuthElevator.go
ian@ian-HP-Stream-Laptop-11-y0XX:~/knuth-elevator/main$ go run knuthElevator.go
TIME	STATE	FLOOR	D1	D2	D3	step	action
0608	D	3	0	X	X	E5	Elevator doors start to close.
0628	D	3	0	X	0	E6	Elevator about to go down
0643	D	3	0	X	0	E8	Elevator moving down
0727	D	2	0	X	0	E2	Elevator stops.
0727	N	2	0	X	0	E3	Elevator doors start to open.
0747	N	2	X	X	0	E4	Doors are open. Users about to exit.
0747	N	2	X	X	0	U6	User 2 gets out, leaves the system.
0772	N	2	X	X	0	E4	Doors are open. Nobody outside elevator.
0803	N	2	0	X	X	E5	Elevator doors start to close.
0823	N	2	0	X	0	E6	Elevator about to go dormant
0823	N	2	0	X	0	E1	Elevator dormant
1027	N	2	0	X	0	E9	Elevator not active
1285	N	2	0	0	0	U1	User 3 arrives at floor 0, destination is 1.
1285	N	2	0	0	0	U2	User 3 presses up button.
1285	D	2	0	0	0	U3	User 3 stands in queue in front of elevator.
1305	D	2	0	0	0	E6	Elevator about to go down
1320	D	2	0	0	0	E8	Elevator moving down
1342	D	1	0	0	0	U1	User 4 arrives at floor 4, destination is 2.
1342	D	1	0	0	0	U2	User 4 presses down button.
1342	D	1	0	0	0	U3	User 4 stands in queue in front of elevator.
1381	D	1	0	0	0	E8	Elevator moving down
1465	D	0	0	0	0	E2	Elevator stops.
1465	U	0	0	0	0	E3	Elevator doors start to open.
1485	U	0	X	X	0	E4	Doors are open. Users about to enter.
1485	U	0	X	X	0	U5	User 3 gets in.
1510	U	0	X	X	0	E4	Doors are open. Nobody outside elevator.
1541	U	0	0	X	X	E5	Elevator doors start to close.
1561	U	0	0	X	0	E6	Elevator about to go up
1576	U	0	0	X	0	E7	Elevator moving up
1641	U	1	0	X	0	E2	Elevator stops.
1641	U	1	0	X	0	E3	Elevator doors start to open.
1661	U	1	X	X	0	E4	Doors are open. Users about to exit.
1661	U	1	X	X	0	U6	User 3 gets out, leaves the system.
1671	U	1	X	X	0	U1	User 5 arrives at floor 0, destination is 3.
1671	U	1	X	X	0	U2	User 5 presses up button.
1671	U	1	X	X	0	U3	User 5 stands in queue in front of elevator.
1686	U	1	X	X	0	E4	Doors are open. Nobody outside elevator.
1717	U	1	0	X	X	E5	Elevator doors start to close.
1737	U	1	0	X	0	E6	Elevator about to go up
1752	U	1	0	X	0	E7	Elevator moving up
1803	U	2	0	X	0	E7	Elevator moving up
1828	U	3	0	X	0	U4	User 4 decides to give up, leaves the system.
1854	U	3	0	X	0	E7	Elevator moving up
1919	U	4	0	X	0	E2	Elevator stops.
1919	D	4	0	X	0	E3	Elevator doors start to open.
1939	D	4	X	X	0	E4	Doors are open. Nobody outside elevator.
1995	D	4	0	X	X	E5	Elevator doors start to close.
2015	D	4	0	X	0	E6	Elevator about to go down
2030	D	4	0	X	0	E8	Elevator moving down
2091	D	3	0	X	0	E8	Elevator moving down
2138	D	2	0	X	0	U1	User 6 arrives at floor 2, destination is 4.
2138	D	2	0	X	0	U2	User 6 presses up button.
2138	D	2	0	X	0	U3	User 6 stands in queue in front of elevator.
2152	D	2	0	X	0	E8	Elevator moving down
2213	D	1	0	X	0	E8	Elevator moving down
2297	D	0	0	X	0	E2	Elevator stops.
2297	U	0	0	X	0	E3	Elevator doors start to open.
2317	U	0	X	X	0	E4	Doors are open. Users about to enter.
2317	U	0	X	X	0	U5	User 5 gets in.
2342	U	0	X	X	0	E4	Doors are open. Nobody outside elevator.
2373	U	0	0	X	X	E5	Elevator doors start to close.
2393	U	0	0	X	0	E6	Elevator about to go up
2408	U	0	0	X	0	E7	Elevator moving up
2459	U	1	0	X	0	E7	Elevator moving up
2524	U	2	0	X	0	E2	Elevator stops.
2524	U	2	0	X	0	E3	Elevator doors start to open.
2544	U	2	X	X	0	E4	Doors are open. Users about to enter.
2544	U	2	X	X	0	U5	User 6 gets in.
2569	U	2	X	X	0	E4	Doors are open. Nobody outside elevator.
2600	U	2	0	X	X	E5	Elevator doors start to close.
2620	U	2	0	X	0	E6	Elevator about to go up
2635	U	2	0	X	0	E7	Elevator moving up
2683	U	3	0	X	0	U1	User 7 arrives at floor 1, destination is 3.
2683	U	3	0	X	0	U2	User 7 presses up button.
2683	U	3	0	X	0	U3	User 7 stands in queue in front of elevator.
2700	U	3	0	X	0	E2	Elevator stops.
2700	U	3	0	X	0	E3	Elevator doors start to open.
2720	U	3	X	X	0	E4	Doors are open. Users about to exit.
2720	U	3	X	X	0	U6	User 5 gets out, leaves the system.
2745	U	3	X	X	0	E4	Doors are open. Nobody outside elevator.
2776	U	3	0	X	X	E5	Elevator doors start to close.
2796	U	3	0	X	0	E6	Elevator about to go up
2811	U	3	0	X	0	E7	Elevator moving up
2876	U	4	0	X	0	E2	Elevator stops.
2876	D	4	0	X	0	E3	Elevator doors start to open.
2896	D	4	X	X	0	E4	Doors are open. Users about to exit.
2896	D	4	X	X	0	U6	User 6 gets out, leaves the system.
2921	D	4	X	X	0	E4	Doors are open. Nobody outside elevator.
2952	D	4	0	X	X	E5	Elevator doors start to close.
2972	D	4	0	X	0	E6	Elevator about to go down
2987	D	4	0	X	0	E8	Elevator moving down
3048	D	3	0	X	0	E8	Elevator moving down
3109	D	2	0	X	0	E8	Elevator moving down
3193	D	1	0	X	0	E2	Elevator stops.
3193	N	1	0	X	0	E3	Elevator doors start to open.
3213	N	1	X	X	0	E4	Doors are open. Users about to enter.
3213	N	1	X	X	0	U5	User 7 gets in.
3238	U	1	X	X	0	E4	Doors are open. Nobody outside elevator.
3238	U	1	0	X	X	E5	Elevator doors start to close.
3258	U	1	0	X	0	E6	Elevator about to go up
3273	U	1	0	X	0	E7	Elevator moving up
3285	U	2	0	X	0	U1	User 8 arrives at floor 3, destination is 1.
3285	U	2	0	X	0	U2	User 8 presses down button.
3285	U	2	0	X	0	U3	User 8 stands in queue in front of elevator.
3324	U	2	0	X	0	E7	Elevator moving up
3389	U	3	0	X	0	E2	Elevator stops.
3389	N	3	0	X	0	E3	Elevator doors start to open.
3409	N	3	X	X	0	E4	Doors are open. Users about to exit.
3409	N	3	X	X	0	U6	User 7 gets out, leaves the system.
3432	N	3	X	X	0	U1	User 9 arrives at floor 1, destination is 2.
3432	N	3	X	X	0	U2	User 9 presses up button.
3432	N	3	X	X	0	U3	User 9 stands in queue in front of elevator.
3434	N	3	X	X	0	E4	Doors are open. Users about to enter.
3434	N	3	X	X	0	U5	User 8 gets in.
3459	D	3	X	X	0	E4	Doors are open. Nobody outside elevator.
3459	D	3	0	X	X	E5	Elevator doors start to close.
3479	D	3	0	X	0	E6	Elevator about to go down
3494	D	3	0	X	0	E8	Elevator moving down
3555	D	2	0	X	0	E8	Elevator moving down
3639	D	1	0	X	0	E2	Elevator stops.
3639	N	1	0	X	0	E3	Elevator doors start to open.
3659	N	1	X	X	0	E4	Doors are open. Users about to exit.
3659	N	1	X	X	0	U6	User 8 gets out, leaves the system.
3684	N	1	X	X	0	E4	Doors are open. Users about to enter.
3684	N	1	X	X	0	U5	User 9 gets in.
3709	U	1	X	X	0	E4	Doors are open. Nobody outside elevator.
3709	U	1	0	X	X	E5	Elevator doors start to close.
3729	U	1	0	X	0	E6	Elevator about to go up
3744	U	1	0	X	0	E7	Elevator moving up
3809	U	2	0	X	0	E2	Elevator stops.
3809	N	2	0	X	0	E3	Elevator doors start to open.
3829	N	2	X	X	0	E4	Doors are open. Users about to exit.
3829	N	2	X	X	0	U6	User 9 gets out, leaves the system.
3854	N	2	X	X	0	E4	Doors are open. Nobody outside elevator.
3885	N	2	0	X	X	E5	Elevator doors start to close.
3905	N	2	0	X	0	E6	Elevator about to go dormant
3905	N	2	0	X	0	E1	Elevator dormant
3921	N	2	0	X	0	U1	User 10 arrives at floor 3, destination is 2.
3921	N	2	0	X	0	U2	User 10 presses down button.
3921	U	2	0	X	0	U3	User 10 stands in queue in front of elevator.
3941	U	2	0	X	0	E6	Elevator about to go up
3956	U	2	0	X	0	E7	Elevator moving up
4021	U	3	0	X	0	E2	Elevator stops.
4021	N	3	0	X	0	E3	Elevator doors start to open.
4041	N	3	X	X	0	E4	Doors are open. Users about to enter.
4041	N	3	X	X	0	U5	User 10 gets in.
4066	D	3	X	X	0	E4	Doors are open. Nobody outside elevator.
4066	D	3	0	X	X	E5	Elevator doors start to close.
4086	D	3	0	X	0	E6	Elevator about to go down
4101	D	3	0	X	0	E8	Elevator moving down
4185	D	2	0	X	0	E2	Elevator stops.
4185	N	2	0	X	0	E3	Elevator doors start to open.
4205	N	2	X	X	0	E4	Doors are open. Users about to exit.
4205	N	2	X	X	0	U6	User 10 gets out, leaves the system.
4230	N	2	X	X	0	E4	Doors are open. Nobody outside elevator.
4261	N	2	0	X	X	E5	Elevator doors start to close.
4281	N	2	0	X	0	E6	Elevator about to go dormant
4281	N	2	0	X	0	E1	Elevator dormant
4485	N	2	0	X	0	E9	Elevator not active
4564	N	2	0	0	0	U1	User 11 arrives at floor 1, destination is 0.
4564	N	2	0	0	0	U2	User 11 presses down button.
4564	D	2	0	0	0	U3	User 11 stands in queue in front of elevator.
4584	D	2	0	0	0	E6	Elevator about to go down
4599	D	2	0	0	0	E8	Elevator moving down
4683	D	1	0	0	0	E2	Elevator stops.
4683	N	1	0	0	0	E3	Elevator doors start to open.
4703	N	1	X	X	0	E4	Doors are open. Users about to enter.
4703	N	1	X	X	0	U5	User 11 gets in.
4728	D	1	X	X	0	E4	Doors are open. Nobody outside elevator.
4728	D	1	0	X	X	E5	Elevator doors start to close.
4748	D	1	0	X	0	E6	Elevator about to go down
4763	D	1	0	X	0	E8	Elevator moving down
4847	D	0	0	X	0	E2	Elevator stops.
4847	N	0	0	X	0	E3	Elevator doors start to open.
4867	N	0	X	X	0	E4	Doors are open. Users about to exit.
4867	N	0	X	X	0	U6	User 11 gets out, leaves the system.
4892	N	0	X	X	0	E4	Doors are open. Nobody outside elevator.
4923	N	0	0	X	X	E5	Elevator doors start to close.
4943	U	0	0	X	0	E6	Elevator about to go up
4958	U	0	0	X	0	E7	Elevator moving up
5009	U	1	0	X	0	E7	Elevator moving up
5074	U	2	0	X	0	E2	Elevator stops.
5074	N	2	0	X	0	E3	Elevator doors start to open.
5094	N	2	X	X	0	E4	Doors are open. Nobody outside elevator.
5150	N	2	0	X	X	E5	Elevator doors start to close.
5170	N	2	0	X	0	E6	Elevator about to go dormant
5170	N	2	0	X	0	E1	Elevator dormant
5374	N	2	0	X	0	E9	Elevator not active
5400	N	2	0	0	0	U1	User 12 arrives at floor 3, destination is 0.
5400	N	2	0	0	0	U2	User 12 presses down button.
5400	U	2	0	0	0	U3	User 12 stands in queue in front of elevator.
5420	U	2	0	0	0	E6	Elevator about to go up
5435	U	2	0	0	0	E7	Elevator moving up
5500	U	3	0	0	0	E2	Elevator stops.
5500	N	3	0	0	0	E3	Elevator doors start to open.
5520	N	3	X	X	0	E4	Doors are open. Users about to enter.
5520	N	3	X	X	0	U5	User 12 gets in.
5545	D	3	X	X	0	E4	Doors are open. Nobody outside elevator.
5545	D	3	0	X	X	E5	Elevator doors start to close.
5565	D	3	0	X	0	E6	Elevator about to go down
5580	D	3	0	X	0	E8	Elevator moving down
5641	D	2	0	X	0	E8	Elevator moving down
5702	D	1	0	X	0	E8	Elevator moving down
5768	D	0	0	X	0	U1	User 13 arrives at floor 2, destination is 1.
5768	D	0	0	X	0	U2	User 13 presses down button.
5768	D	0	0	X	0	U3	User 13 stands in queue in front of elevator.
5786	D	0	0	X	0	E2	Elevator stops.
5786	U	0	0	X	0	E3	Elevator doors start to open.
5806	U	0	X	X	0	E4	Doors are open. Users about to exit.
5806	U	0	X	X	0	U6	User 12 gets out, leaves the system.
5831	U	0	X	X	0	E4	Doors are open. Nobody outside elevator.
5862	U	0	0	X	X	E5	Elevator doors start to close.
5882	U	0	0	X	0	E6	Elevator about to go up
5897	U	0	0	X	0	E7	Elevator moving up
5948	U	1	0	X	0	E7	Elevator moving up
6013	U	2	0	X	0	E2	Elevator stops.
6013	N	2	0	X	0	E3	Elevator doors start to open.
6033	N	2	X	X	0	E4	Doors are open. Users about to enter.
6033	N	2	X	X	0	U5	User 13 gets in.
6058	D	2	X	X	0	E4	Doors are open. Nobody outside elevator.
6058	D	2	0	X	X	E5	Elevator doors start to close.
6078	D	2	0	X	0	E6	Elevator about to go down
6093	D	2	0	X	0	E8	Elevator moving down
6177	D	1	0	X	0	E2	Elevator stops.
6177	N	1	0	X	0	E3	Elevator doors start to open.
6197	N	1	X	X	0	E4	Doors are open. Users about to exit.
6197	N	1	X	X	0	U6	User 13 gets out, leaves the system.
6222	N	1	X	X	0	E4	Doors are open. Nobody outside elevator.
6251	N	1	0	X	X	U1	User 14 arrives at floor 0, destination is 1.
6251	N	1	0	X	X	U2	User 14 presses up button.
6251	N	1	0	X	X	U3	User 14 stands in queue in front of elevator.
6253	N	1	0	X	X	E5	Elevator doors start to close.
6273	D	1	0	X	0	E6	Elevator about to go down
6288	D	1	0	X	0	E8	Elevator moving down
6372	D	0	0	X	0	E2	Elevator stops.
6372	N	0	0	X	0	E3	Elevator doors start to open.
6392	N	0	X	X	0	E4	Doors are open. Users about to enter.
6392	N	0	X	X	0	U5	User 14 gets in.
6417	U	0	X	X	0	E4	Doors are open. Nobody outside elevator.
6417	U	0	0	X	X	E5	Elevator doors start to close.
6437	U	0	0	X	0	E6	Elevator about to go up
6452	U	0	0	X	0	E7	Elevator moving up
6517	U	1	0	X	0	E2	Elevator stops.
6517	N	1	0	X	0	E3	Elevator doors start to open.
6537	N	1	X	X	0	E4	Doors are open. Users about to exit.
6537	N	1	X	X	0	U6	User 14 gets out, leaves the system.
6562	N	1	X	X	0	E4	Doors are open. Nobody outside elevator.
6593	N	1	0	X	X	E5	Elevator doors start to close.
6613	U	1	0	X	0	E6	Elevator about to go up
6628	U	1	0	X	0	E7	Elevator moving up
6693	U	2	0	X	0	E2	Elevator stops.
6693	N	2	0	X	0	E3	Elevator doors start to open.
6713	N	2	X	X	0	E4	Doors are open. Nobody outside elevator.
6733	N	2	0	X	X	U1	User 15 arrives at floor 0, destination is 3.
6733	N	2	0	X	X	U2	User 15 presses up button.
6733	N	2	0	X	X	U3	User 15 stands in queue in front of elevator.
6769	N	2	0	X	X	E5	Elevator doors start to close.
6789	D	2	0	X	0	E6	Elevator about to go down
6804	D	2	0	X	0	E8	Elevator moving down
6865	D	1	0	X	0	E8	Elevator moving down
6949	D	0	0	X	0	E2	Elevator stops.
6949	N	0	0	X	0	E3	Elevator doors start to open.
6969	N	0	X	X	0	E4	Doors are open. Users about to enter.
6969	N	0	X	X	0	U5	User 15 gets in.
6994	U	0	X	X	0	E4	Doors are open. Nobody outside elevator.
6994	U	0	0	X	X	E5	Elevator doors start to close.
7014	U	0	0	X	0	E6	Elevator about to go up
7029	U	0	0	X	0	E7	Elevator moving up
7080	U	1	0	X	0	E7	Elevator moving up
7131	U	2	0	X	0	E7	Elevator moving up
7196	U	3	0	X	0	E2	Elevator stops.
7196	N	3	0	X	0	E3	Elevator doors start to open.
7216	N	3	X	X	0	E4	Doors are open. Users about to exit.
7216	N	3	X	X	0	U6	User 15 gets out, leaves the system.
7241	N	3	X	X	0	E4	Doors are open. Nobody outside elevator.
7272	N	3	0	X	X	E5	Elevator doors start to close.
7292	D	3	0	X	0	E6	Elevator about to go down
7304	D	3	0	X	0	U1	User 16 arrives at floor 1, destination is 4.
7304	D	3	0	X	0	U2	User 16 presses up button.
7304	D	3	0	X	0	U3	User 16 stands in queue in front of elevator.
7307	D	3	0	X	0	E8	Elevator moving down
7368	D	2	0	X	0	E8	Elevator moving down
7452	D	1	0	X	0	E2	Elevator stops.
7452	N	1	0	X	0	E3	Elevator doors start to open.
7472	N	1	X	X	0	E4	Doors are open. Users about to enter.
7472	N	1	X	X	0	U5	User 16 gets in.
7497	U	1	X	X	0	E4	Doors are open. Nobody outside elevator.
7497	U	1	0	X	X	E5	Elevator doors start to close.
7517	U	1	0	X	0	E6	Elevator about to go up
7532	U	1	0	X	0	E7	Elevator moving up
7570	U	2	0	X	0	U1	User 17 arrives at floor 0, destination is 4.
7570	U	2	0	X	0	U2	User 17 presses up button.
7570	U	2	0	X	0	U3	User 17 stands in queue in front of elevator.
7583	U	2	0	X	0	E7	Elevator moving up
7634	U	3	0	X	0	E7	Elevator moving up
7699	U	4	0	X	0	E2	Elevator stops.
7699	D	4	0	X	0	E3	Elevator doors start to open.
7719	D	4	X	X	0	E4	Doors are open. Users about to exit.
7719	D	4	X	X	0	U6	User 16 gets out, leaves the system.
7744	D	4	X	X	0	E4	Doors are open. Nobody outside elevator.
7775	D	4	0	X	X	E5	Elevator doors start to close.
7795	D	4	0	X	0	E6	Elevator about to go down
7810	D	4	0	X	0	E8	Elevator moving down
7871	D	3	0	X	0	E8	Elevator moving down
7932	D	2	0	X	0	E8	Elevator moving down
7993	D	1	0	X	0	E8	Elevator moving down
8021	D	0	0	X	0	U4	User 17 decides to give up, leaves the system.
8077	D	0	0	X	0	E2	Elevator stops.
8077	N	0	0	X	0	E3	Elevator doors start to open.
8097	N	0	X	X	0	E4	Doors are open. Nobody outside elevator.
8153	N	0	0	X	X	E5	Elevator doors start to close.
8173	U	0	0	X	0	E6	Elevator about to go up
8188	U	0	0	X	0	E7	Elevator moving up
8239	U	1	0	X	0	E7	Elevator moving up
8304	U	2	0	X	0	E2	Elevator stops.
8304	N	2	0	X	0	E3	Elevator doors start to open.
8324	N	2	X	X	0	E4	Doors are open. Nobody outside elevator.
8343	N	2	0	X	X	U1	User 18 arrives at floor 2, destination is 3.
8343	N	2	0	X	X	U2	User 18 arrives at open doors.
8343	N	2	X	X	0	U3	User 18 stands in queue in front of elevator.
8343	N	2	X	X	0	E4	Doors are open. Users about to enter.
8343	N	2	X	X	0	U5	User 18 gets in.
8368	U	2	X	X	0	E4	Doors are open. Nobody outside elevator.
8368	U	2	0	X	X	E5	Elevator doors start to close.
8388	U	2	0	X	0	E6	Elevator about to go up
8403	U	2	0	X	0	E7	Elevator moving up
8468	U	3	0	X	0	E2	Elevator stops.
8468	N	3	0	X	0	E3	Elevator doors start to open.
8488	N	3	X	X	0	E4	Doors are open. Users about to exit.
8488	N	3	X	X	0	U6	User 18 gets out, leaves the system.
8513	N	3	X	X	0	E4	Doors are open. Nobody outside elevator.
8544	N	3	0	X	X	E5	Elevator doors start to close.
8564	D	3	0	X	0	E6	Elevator about to go down
8579	D	3	0	X	0	E8	Elevator moving down
8663	D	2	0	X	0	E2	Elevator stops.
8663	N	2	0	X	0	E3	Elevator doors start to open.
8683	N	2	X	X	0	E4	Doors are open. Nobody outside elevator.
8739	N	2	0	X	X	E5	Elevator doors start to close.
8759	N	2	0	X	0	U1	User 19 arrives at floor 4, destination is 2.
8759	N	2	0	X	0	U2	User 19 presses down button.
8759	N	2	0	X	0	U3	User 19 stands in queue in front of elevator.
8759	U	2	0	X	0	E6	Elevator about to go up
8774	U	2	0	X	0	E7	Elevator moving up
8825	U	3	0	X	0	E7	Elevator moving up
8842	U	4	0	X	0	U1	User 20 arrives at floor 3, destination is 1.
8842	U	4	0	X	0	U2	User 20 presses down button.
8842	U	4	0	X	0	U3	User 20 stands in queue in front of elevator.
8890	U	4	0	X	0	E2	Elevator stops.
8890	D	4	0	X	0	E3	Elevator doors start to open.
8910	D	4	X	X	0	E4	Doors are open. Users about to enter.
8910	D	4	X	X	0	U5	User 19 gets in.
8935	D	4	X	X	0	E4	Doors are open. Nobody outside elevator.
8966	D	4	0	X	X	E5	Elevator doors start to close.
8986	D	4	0	X	0	E6	Elevator about to go down
9001	D	4	0	X	0	E8	Elevator moving down
9085	D	3	0	X	0	E2	Elevator stops.
9085	D	3	0	X	0	E3	Elevator doors start to open.
9105	D	3	X	X	0	E4	Doors are open. Users about to enter.
9105	D	3	X	X	0	U5	User 20 gets in.
9130	D	3	X	X	0	E4	Doors are open. Nobody outside elevator.
9161	D	3	0	X	X	E5	Elevator doors start to close.
9181	D	3	0	X	0	E6	Elevator about to go down
9196	D	3	0	X	0	E8	Elevator moving down
9280	D	2	0	X	0	E2	Elevator stops.
9280	D	2	0	X	0	E3	Elevator doors start to open.
9300	D	2	X	X	0	E4	Doors are open. Users about to exit.
9300	D	2	X	X	0	U6	User 19 gets out, leaves the system.
9325	D	2	X	X	0	E4	Doors are open. Nobody outside elevator.
9356	D	2	0	X	X	E5	Elevator doors start to close.
9376	D	2	0	X	0	E6	Elevator about to go down
9391	D	2	0	X	0	E8	Elevator moving down
9466	D	1	0	X	0	U1	User 21 arrives at floor 2, destination is 3.
9466	D	1	0	X	0	U2	User 21 presses up button.
9466	D	1	0	X	0	U3	User 21 stands in queue in front of elevator.
9475	D	1	0	X	0	E2	Elevator stops.
9475	U	1	0	X	0	E3	Elevator doors start to open.
9495	U	1	X	X	0	E4	Doors are open. Users about to exit.
9495	U	1	X	X	0	U6	User 20 gets out, leaves the system.
9520	U	1	X	X	0	E4	Doors are open. Nobody outside elevator.
9551	U	1	0	X	X	E5	Elevator doors start to close.
9571	U	1	0	X	0	E6	Elevator about to go up
9586	U	1	0	X	0	E7	Elevator moving up
9651	U	2	0	X	0	E2	Elevator stops.
9651	N	2	0	X	0	E3	Elevator doors start to open.
9671	N	2	X	X	0	E4	Doors are open. Users about to enter.
9671	N	2	X	X	0	U5	User 21 gets in.
9696	U	2	X	X	0	E4	Doors are open. Nobody outside elevator.
9696	U	2	0	X	X	E5	Elevator doors start to close.
9716	U	2	0	X	0	E6	Elevator about to go up
9731	U	2	0	X	0	E7	Elevator moving up
9744	U	3	0	X	0	U1	User 22 arrives at floor 4, destination is 3.
9744	U	3	0	X	0	U2	User 22 presses down button.
9744	U	3	0	X	0	U3	User 22 stands in queue in front of elevator.
9796	U	3	0	X	0	E2	Elevator stops.
9796	U	3	0	X	0	E3	Elevator doors start to open.
9816	U	3	X	X	0	E4	Doors are open. Users about to exit.
9816	U	3	X	X	0	U6	User 21 gets out, leaves the system.
9841	U	3	X	X	0	E4	Doors are open. Nobody outside elevator.
9872	U	3	0	X	X	E5	Elevator doors start to close.
9881	U	3	0	X	0	U1	User 23 arrives at floor 2, destination is 0.
9881	U	3	0	X	0	U2	User 23 presses down button.
9881	U	3	0	X	0	U3	User 23 stands in queue in front of elevator.
9892	U	3	0	X	0	E6	Elevator about to go up
9907	U	3	0	X	0	E7	Elevator moving up
9972	U	4	0	X	0	E2	Elevator stops.
9972	D	4	0	X	0	E3	Elevator doors start to open.
9992	D	4	X	X	0	E4	Doors are open. Users about to enter.
9992	D	4	X	X	0	U5	User 22 gets in.
ian@ian-HP-Stream-Laptop-11-y0XX:~/knuth-elevator/main$ cat knuthElevator.go
// Go implementation of the simulator described in:

// The Art of Computer Programming, Volume 1: Fundamental Algorithms, Third Edition (Donald E. Knuth)
// Chapter 2 Information Structures
// 2.2.5 Doubly Linked Lists
// Pages 280–298

// As an example of the use of doubly linked lists, we will now consider the
// writing of a discrete simulation program. “Discrete simulation” means the
// simulation of a system in which all changes in the state of the system may
// be assumed to happen at certain discrete instants of time. The “system” being
// simulated is usually a set of individual activities that are largely independent
// although they interact with each other; examples are customers at a store, ships
// in a harbor, people in a corporation. In a discrete simulation, we proceed by
// doing whatever is to be done at a certain instant of simulated time, then advance
// the simulated clock to the next time when some action is scheduled to occur.

// By contrast, a “continuous simulation” would be simulation of activities that
// are under continuous changes, such as traffic moving on a highway, spaceships
// traveling to other planets, etc. Continuous simulation can often be satisfactorily
// approximated by discrete simulation with very small time intervals between
// steps; however, in such a case we usually have “synchronous” discrete simulation,
// in which many parts of the system are slightly altered at each discrete time
// interval, and such an application generally calls for a somewhat different type of
// program organization than the kind considered here.

// The program developed below simulates the elevator system in the Mathematics
// building of the California Institute of Technology. The results of such a
// simulation will perhaps be of use only to people who make reasonably frequent
// visits to Caltech; and even for them, it may be simpler just to try using the
// elevator several times instead of writing a computer program. But, as is usual
// with simulation studies, the methods we will use are of much more interest than
// the answers given by the program. The methods to be discussed below illustrate
// typical implementation techniques used with discrete simulation programs.

package main

import (
	"fmt"
	"math/rand"
	"time"
)

const (
	// The Mathematics building has five floors: sub-basement, basement, first,
	// second, and third. There is a single elevator, which has automatic controls
	// and can stop at each floor. For convenience we will renumber the floors 0, 1,
	// 2, 3, and 4.
	floorSubbasement = 0
	floorBasement    = 1
	floorFirst       = 2
	floorSecond      = 3
	floorThird       = 4

	floorHome = floorFirst

	floors = 5

	// The elevator is in one of three states: GOINGUP, GOINGDOWN, or NEUTRAL.
	// (The current state is indicated to passengers by lighted arrows inside the
	// elevator.) If it is in NEUTRAL state and not on floor 2, the machine will close
	// its doors and (if no command is given by the time its doors are shut) it will
	// change to GOINGUP or GOINGDOWN, heading for floor 2. (This is the “home floor,”
	// since most passengers get in there.) On floor 2 in NEUTRAL state, the doors will
	// eventually close and the machine will wait silently for another command. The first
	// command received for another floor sets the machine GOINGUP or GOINGDOWN as
	// appropriate; it stays in this state until there are no commands waiting in the
	// same direction, and then it switches direction or switches to NEUTRAL just before
	// opening the doors, depending on what other commands are in the CALL variables. The
	// elevator takes a certain amount of time to open and close its doors, to accelerate
	// and decelerate, and to get from one floor to another.
	stateGoingUp = iota
	stateGoingDown
	stateNeutral

	// E1--E9
	stepWaitForCall          = 1
	stepChangeOfState        = 2
	stepOpenDoors            = 3
	stepLetPeopleOutIn       = 4
	stepCloseDoors           = 5
	stepPrepareToMove        = 6
	stepGoUpAFloor           = 7
	stepGoDownAFloor         = 8
	stepSetInactionIndicator = 9

	minGiveUpTime = 30 * 10     // 30 seconds
	maxGiveUpTime = 2 * 60 * 10 // 2 minutes

	minInterTime = 1 * 10  // 1 seconds
	maxInterTime = 90 * 10 // 90 seconds

